Subject,Institution,Country,Degree Type,Course of Study,Years
4168,NYU,USA,BS,CS,3.5
4168,NYU,USA,MS,CS,1.5
3316,NYU,USA,BS,CS,3.5
4281,Osmania University,India,BS,CS,4
4281,NYU,USA,MS,CS,0.5
9112,NYU Shanghia,China,BS,CS,2.5
3787,BMSIT&M,India,BE,Info Science,4
3787,NYU,USA,MS,CS,0.5
6061,Czech Tech Uni,Czechia,BSc,CS,4
8888,University of Rochester,USA,BS / BA,CS / Math,4
8888,Brown University,USA,PhD,CS,5
4304,RPI,USA,BS,EE,4
4304,RPI,USA,MEng,EE,1
4304,RPI,USA,PhD,EE,5
1879,Pontificia Universidad Católica,Chile,BS,Math,4.5
1879,Washington University in St. Louis,USA,MSc,CS,2
1879,UC Irvine,USA,PhD,CE,3
1157,Swarthmore,USA,BA,Math / CS,4
7640,Washington University in St. Lousi,USA,BA,Math,4
7640,UCLA,USA,PhD,Math,5
4642,TU Delft,Netherlands,BS,IT,5
8697,Florida Tech,USA,BS,CS,1
1867,Duquesne,USA,BM,Music,
1867,Duquesne,USA,BS,Math,
