Subject,Language,Learned Year,Active Year,Lines,Notes
4168,ActionScript,2008,3,20k,Read a book
4168,Pascal,2004,4,1k,Read a book
4168,C++,2009,10,150k,Read C++ for Dummies
4168,Python,2015,4,200k,Volunteered to write w/o knowing
4168,Javascript,2010,9,150k,Read a book
4168,PHP,2009,9,200k,Read PHP Black Book by Peter Moulding
4168,PowerShell,2006,13,3k,Read Microsoft docs
3316,Go,2018,1,10k,Self study
3316,Python,2016,2,5k,Self study
3316,C++,2015,3,5k,Coursework
4281,C,2012,2,1500,
4281,C++,2012,4,3000,Used it for competetive programming
4281,Java,2014,2,1500,Used to develop academic projects
4281,Javascript,2015,3,2000,Used for freelance work
4281,Python,2015,4,1000,Used for an intern position.
9112,C,2013,1,1k,K and R
9112,Python,2016,3,10k+,
9112,Java,2016,3,50k+,Android development
9112,Javascript,2017,2,20k+,
9112,Kotlin,2017,1,1k,
9112,Dart,2018,1,1k,
3787,C / C++,2012,4,5k,K&R book
3787,Python,2016,4,30k,Online
3787,Java,2017,0.5,500,Hate it.
6061,Basic,1992,2,,Playing w/ it as a kid
6061,Pascal,1995,3,,Playing w/ it as a kid
6061,PHP,2000,4,,First student job
6061,C,2003,16,,Job
6061,Ruby,2004,4,,Job
6061,Python,2006,3,,Job
6061,C++,2010,4,,Job
8888,C,1995,23,800k,
8888,Haskell,1999,15,50k,
8888,C++,2015,3,100k,
8888,Java,1997,6,5k,
8888,Tcl,2000,3,5k,
8888,Logo,1993,10,50k,
8888,Pascal,1990,7,50k,
8888,Go,2016,2,5k,
8888,Python,2004,14,500k,
4304,Basic,1980,5,1000,
4304,Assembly,1983,5,100k,Wrote Games
4304,C++,1988,20,500k,
4304,Perl,1990,5,20k,
4304,Lisp,1990,1,100,
4304,Java,2000,15,10k,
4304,Python,2010,8,4k,
1879,Basic,1985,3,,
1879,Assembly,1986,3,5000,
1879,Q,2001,1,500,
1879,C++/C,1989,30,5M,
1879,Fortran,1990,1,5000,
1879,Perl,1995,15,5000,
1879,Python,,,5000,
1879,R,2010,8,5000,
1157,C++,1999,8,20k,Bruce Eckle's Think in C++
1157,Java,2002,7,50k,
1157,C++11,2014,5,50100k,Return to C++
7640,C++,2003,10,60k,
7640,Java,2004,1,1k,
7640,Javascript,2003,,20k,
4642,C / C++,1990,29,300k,"Read K&R, First Borland C/C++ (1.3?)"
4642,Pascal,1986,4,1k,T Deflt used Pascal.
4642,Java,,10,20k,Intermittent
4642,C#,2004,8,100k,
8697,C++,2014,1,3k,
8697,JS,2014,1,3k,
1867,Java,2010,3,5k,For class projects
1867,Python,2010,8,5k,
1867,C++,2014,4,20k,"Work, etc. Learned from Tour of C++"
1867,Matlab,2010,4,2k,Math research
1867,Bash,,,,
1867,Javascript,2013,3,5k,Lots of stackoverflow
