Subject,Age,Gender,Race,Employment,Programming Corses,Learn to Program,Preferred Language,Daily Language,Largest Lines in Codebase,Largest Lines Written,Proficiency General,Proficiency C/C++,Proficiency 2nd year,Proficiency Professional,Professional Programmer,Pro Years,Pro C,Pro C Years,Extra Notes
4168,22,M,Asian,Student / Support,25,Read Books,C++ / Python,"C++, Python",10000,100,4,4,6,4,,,,,I've written scripts in various environments and for various shells (e.g. bash).
3316,22,M,White,Programmer,15,Coursework and personal experimentation,Go,"Go, Python",400,400,4,3,5,3,,,,,
4281,24,M,<intentionally empty>,Sudent,10,"Books, online videos, class snipopets",C++,"Java, C++",100000,500,4,4,4,3,,,,,
9112,21,M,Asian,Student,10+,By practice,"Javascript, Kotlin",Kotlin,Thousands,A few hundred,4,3,5,4,,,,,
3787,22,M,South Asian Indian,Student,7,"Classes, online",Python,Python,2500,1500,5,4,5,4,,,,,
6061,32,M,White Caucasian,Programmer / Lead,10,Curiosity as a kid,C++,C++,>1M,100k,5,5,6,5,Y,13,Y,8,
8888,35,M,White,Programmer,20,Self-taught,C++,C++,2B,50k,5,5,6,4,Y,4,Y,3,
4304,53,M,White,SWE,10,Self-taught,C++,"C++, Python, Java",100000,3000,5,5,5,4,Y,30,Y,30,
1879,48,M,White,Programmer,20,Self-taught,C++,C++,1M,200k,5,5,5,5,Y,29,Y,29,
1157,37,M,White / Latino,Software Engineer,10,"A mixture of TI-81 calc, and AP CS",C#,C++,6M,100k,6,6,6,6,Y,15,Y,8,
7640,29,M,White,Software Engineer,5,"Summer programs + self-taught, then some college courses",C++,C++,150k,20k,4,6,6,4,Y,3,Y,3,
4642,53,M,White / Caucasian,Senior Software Engineer,20,As a kid I got a TRS 80,C++,C++,5M,100000,6,6,6,5,Y,28,Y,20,
8697,22,M,White,Programmer,3,Self-taught,Javascript / C++,C++,250M,2k,4,4,5,4,Y,2,Y,1,
1867,29,M,White,Programmer,10,At college,C++,"C++, bash",7.5B,25k,5,5,6,5,Y,4,Y,3.5,
